Subject,Speaker,Prosody,Happy_rating,Angry_rating,Sad_Rating,F0_Mean,F0_SD,Speech_Rate
6,0,3,1,1,2,167.8883202,39.31292693,3.936062855
6,1,3,1,1,2,181.3513499,18.67160222,4.022991935
6,1,3,1,1,3,183.9763687,24.28013478,5.488322251
6,0,3,1,1,3,162.8146196,29.92128778,3.776994731
6,0,3,1,1,3,174.9069473,29.99601007,4.014838955
6,1,3,1,1,1,191.1329898,14.08031811,3.258297304
6,1,3,1,1,2,188.0226413,17.05408547,4.175568776
6,0,3,1,1,2,169.9028302,30.27800365,2.724767687
6,0,3,1,1,3,188.5849525,33.21166386,3.541353484
6,1,3,1,1,4,178.1093158,19.04450189,3.971038747
6,1,3,1,1,2,180.8089253,16.4858498,3.521706163
6,0,3,1,1,2,170.4720008,40.9847178,3.778460334
6,0,3,1,1,2,158.267141,34.28767002,3.248596531
8,0,1,1,3,1,286.2935271,109.299277,3.82106256
8,0,1,1,3,1,255.9117445,76.83064682,4.191984619
8,1,1,1,3,1,325.8666017,88.64524259,2.842302184
8,1,1,1,3,3,298.5677142,67.49971513,3.42402568
8,0,1,1,4,2,266.2763276,67.05245974,4.300911101
8,0,1,1,3,2,222.7578947,61.89908879,5.376081478
8,1,1,1,4,2,250.6056354,50.25509217,3.159293985
8,1,1,1,4,1,257.7733608,66.04116981,3.947215391
8,0,1,1,3,2,243.7506818,62.2850132,3.772578903
8,0,1,1,1,2,242.4417497,53.30353091,4.380083239
8,1,1,1,4,2,302.4950874,63.79673605,2.655265913
8,1,1,1,3,1,267.0469156,54.52967205,2.958704127
8,0,1,1,3,2,199.9384056,41.04425967,3.686754346
8,0,1,1,3,1,223.5660722,53.74034433,4.370774938
8,1,1,1,2,2,246.3631407,44.36093513,3.020579045
8,1,1,1,3,2,275.7638178,56.95946625,3.066881798
8,0,2,3,1,1,282.7474167,132.9106458,4.17401938
8,0,2,3,1,1,286.5671032,127.892868,3.894995117
8,1,2,1,2,2,337.3560308,121.4188893,3.314876431
8,1,2,3,1,1,359.7223377,125.1836736,3.370210919
8,0,2,4,1,1,335.1262284,103.0601935,3.821200926
8,0,2,4,1,1,278.9303179,93.30306809,4.910266873
8,1,2,3,1,1,313.8108365,90.61196318,3.548835813
8,1,2,3,1,1,334.3917347,108.9990116,4.577497388
8,0,2,2,1,1,234.2134641,84.89452584,3.531792907
8,0,2,3,1,1,261.1502746,69.62449961,3.974776365
8,1,2,3,2,1,302.3577013,78.1762946,3.109091295
8,1,2,3,1,1,340.8571168,86.11263554,3.722598924
8,0,2,3,1,1,233.7359425,84.48893399,4.204372011
8,0,2,3,1,2,262.9707409,81.84279076,3.834772175
8,1,2,3,1,1,372.3222543,149.7157486,3.331671773
8,1,2,3,1,1,336.2250785,118.2613814,3.319363255
8,0,3,1,1,4,157.2404888,25.84341,3.902500633
8,0,3,1,2,3,163.8805304,23.33151522,3.908216709
8,1,3,1,2,3,192.7572799,25.67559564,3.239964025
8,1,3,1,1,3,200.5233865,23.21584186,2.627803928
8,0,3,1,1,3,161.0946601,20.14100246,4.223349182
8,0,3,1,1,3,160.0222372,35.44545787,4.258383658
8,1,3,1,1,4,199.7483222,20.61176678,2.992343592
8,1,3,1,1,3,200.5401666,31.21262932,3.655064795
8,0,3,1,3,3,157.696247,21.18685204,3.315351716
8,0,3,1,1,4,162.0303738,26.76532182,3.676745138
8,1,3,1,1,3,212.3587143,22.83132557,2.21526822
8,1,3,1,1,3,205.7216825,23.97592372,2.832286087
8,0,3,1,1,3,144.7228884,19.19434236,3.632205885
8,0,3,1,1,4,154.884759,23.48153368,3.310111328
8,1,3,1,1,3,201.2880174,28.21192348,2.700566519
8,1,3,1,1,3,198.2581048,21.26016143,2.42564746
9,1,1,1,2,1,289.4770036,77.41987892,3.190598263
9,1,1,1,4,1,288.5217819,55.76747104,2.922830019
9,0,1,1,4,1,325.8666017,88.64524259,2.842302184
9,0,1,1,2,1,298.5677142,67.49971513,3.42402568
9,1,1,2,2,1,258.2837146,51.0058176,3.5940125
9,1,1,2,2,1,266.0528769,56.60801327,3.959598413
9,0,1,1,3,1,250.6056354,50.25509217,3.159293985
9,0,1,1,4,1,257.7733608,66.04116981,3.947215391
9,1,1,1,3,3,270.3991415,52.22703225,2.934781784
9,1,1,1,3,1,303.9467536,66.33339243,3.803843077
9,0,1,1,2,2,302.4950874,63.79673605,2.655265913
9,0,1,1,4,1,267.0469156,54.52967205,2.958704127
9,1,1,1,2,2,280.5488195,65.97494685,3.057913974
9,1,1,1,3,1,275.5601577,66.23074487,2.872714318
9,0,1,1,3,1,246.3631407,44.36093513,3.020579045
9,0,1,2,2,2,275.7638178,56.95946625,3.066881798
9,1,2,3,1,1,328.3293624,116.7031927,3.643518987
9,1,2,3,1,1,328.507159,107.8270428,2.987389096
9,0,2,2,1,1,337.3560308,121.4188893,3.314876431
9,0,2,4,1,1,359.7223377,125.1836736,3.370210919
9,1,2,2,1,1,348.2035706,95.69745308,3.799014381
9,1,2,2,1,1,281.1609211,120.261626,3.795762627
9,0,2,3,1,1,313.8108365,90.61196318,3.548835813
9,0,2,4,1,1,334.3917347,108.9990116,4.577497388
9,1,2,1,1,2,296.466842,75.93100171,3.32858222
9,1,2,4,1,1,326.9768339,87.43119497,3.55351719
9,0,2,3,1,1,302.3577013,78.1762946,3.109091295
9,0,2,4,1,1,340.8571168,86.11263554,3.722598924
9,1,2,3,1,1,382.1109443,102.6122308,3.339983904
9,1,2,4,1,1,356.9614248,94.17439289,3.412605922
9,0,2,4,1,1,372.3222543,149.7157486,3.331671773
9,0,2,4,1,1,336.2250785,118.2613814,3.319363255
9,1,3,1,1,4,219.3818153,37.06319262,3.338410199
9,1,3,1,1,2,228.0969829,26.73164009,3.697038892
9,0,3,2,1,3,192.7572799,25.67559564,3.239964025
9,0,3,1,1,3,200.5233865,23.21584186,2.627803928
9,1,3,1,1,2,206.3851393,36.58376057,3.752678319
9,1,3,1,1,3,212.8261125,44.79902836,4.156783391
9,0,3,1,1,3,199.7483222,20.61176678,2.992343592
9,0,3,1,1,3,200.5401666,31.21262932,3.655064795
9,1,3,2,1,2,220.2957826,24.6086176,3.221299646
9,1,3,1,1,2,213.675732,37.97628128,3.381326922
9,0,3,1,1,3,212.3587143,22.83132557,2.21526822
9,0,3,1,1,4,205.7216825,23.97592372,2.832286087
9,1,3,1,1,3,223.5117058,26.81683334,3.236709079
9,1,3,1,1,3,208.6142127,39.81752184,2.604306436
9,0,3,1,1,3,201.2880174,28.21192348,2.700566519
9,0,3,1,1,2,198.2581048,21.26016143,2.42564746
11,1,1,2,2,2,286.2935271,109.299277,3.82106256
11,1,1,1,4,1,255.9117445,76.83064682,4.191984619
11,0,1,1,4,1,177.1963752,34.93699503,3.999343169
11,0,1,1,3,1,187.7799113,39.22782712,3.748613375
11,1,1,1,4,3,266.2763276,67.05245974,4.300911101
11,1,1,1,4,1,222.7578947,61.89908879,5.376081478
11,0,1,1,4,2,165.8478015,36.2571233,3.987760936
11,0,1,1,3,2,161.6700335,26.25191473,5.087516822
11,1,1,2,2,3,243.7506818,62.2850132,3.772578903
11,1,1,1,1,3,242.4417497,53.30353091,4.380083239
11,0,1,1,3,2,198.4718916,55.29127509,3.70804165
11,0,1,1,2,3,189.6181296,38.1828403,4.179262764
11,1,1,1,4,2,199.9384056,41.04425967,3.686754346
11,1,1,1,3,3,223.5660722,53.74034433,4.370774938
11,0,1,1,3,1,197.63233,84.10852813,3.287273124
11,0,1,1,3,2,174.9874456,29.09546767,3.751038065
11,1,2,4,1,1,282.7474167,132.9106458,4.17401938
11,1,2,3,1,1,286.5671032,127.892868,3.894995117
11,0,2,4,1,1,335.3401814,90.98810441,4.613753822
11,0,2,4,1,1,347.8802021,151.0794584,4.316274971
11,1,2,4,1,1,335.1262284,103.0601935,3.821200926
11,1,2,4,1,1,278.9303179,93.30306809,4.910266873
11,0,2,0,0,0,266.2206739,77.68332456,4.772934024
11,0,2,4,1,1,298.3420315,154.6670684,5.142479584
11,1,2,3,1,1,234.2134641,84.89452584,3.531792907
11,1,2,4,1,1,261.1502746,69.62449961,3.974776365
11,0,2,4,1,1,294.1501317,118.6890864,3.81036251
11,0,2,3,1,1,279.5469381,101.8992481,4.930369827
11,1,2,4,1,1,233.7359425,84.48893399,4.204372011
11,1,2,3,1,1,262.9707409,81.84279076,3.834772175
11,0,2,3,1,1,346.2151148,91.54707454,4.289271598
11,0,2,3,1,1,250.9575891,102.1296518,4.171879508
11,1,3,1,2,4,157.2404888,25.84341,3.902500633
11,1,3,1,2,3,163.8805304,23.33151522,3.908216709
11,0,3,1,2,4,186.6627643,22.65778636,3.338889291
11,0,3,1,2,3,172.1296906,35.00325714,3.561511244
11,1,3,1,2,3,161.0946601,20.14100246,4.223349182
11,1,3,1,1,3,160.0222372,35.44545787,4.258383658
11,0,3,1,2,3,163.6242293,17.86020665,3.736787907
11,0,3,1,2,3,152.6533091,17.68528946,4.281012179
11,1,3,1,2,4,157.696247,21.18685204,3.315351716
11,1,3,1,2,3,162.0303738,26.76532182,3.676745138
11,0,3,1,2,4,174.7228021,19.3229153,3.288540294
11,0,3,1,1,3,168.3006332,15.48340838,3.730883047
11,1,3,1,2,3,144.7228884,19.19434236,3.632205885
11,1,3,1,1,4,154.884759,23.48153368,3.310111328
11,0,3,1,2,3,164.6401993,20.59461338,2.976101406
11,0,3,1,2,4,160.0317879,15.2412543,3.113641169
12,0,1,1,4,4,288.9333488,84.62275293,3.739036552
12,0,1,2,2,2,231.5409098,39.89936413,3.787841439
12,1,1,1,4,3,233.482739,35.8576064,3.568658092
12,1,1,4,3,2,227.8894676,50.74472351,3.22594253
12,0,1,2,4,4,222.4365044,49.84129611,4.797871744
12,0,1,1,4,1,260.4918748,53.98772862,3.821551011
12,1,1,1,4,4,212.1995759,42.35179838,3.632849769
12,1,1,2,1,1,196.1946875,31.43444539,5.266878903
12,0,1,1,4,2,257.1734444,44.03617981,3.376545964
12,0,1,1,4,4,266.4304543,65.6703267,3.973363677
12,1,1,1,4,4,226.2945451,28.24291413,2.895373538
12,1,1,1,4,4,222.2412188,38.95215592,4.00351595
12,0,1,1,4,4,237.5080391,47.45954709,3.374202639
12,0,1,1,4,1,238.3529779,44.22546111,3.617748422
12,1,1,3,2,2,209.8437686,38.37594545,3.4200028
12,1,1,1,4,4,223.1343053,48.03589756,3.446674124
12,0,2,1,2,2,347.7907461,97.76735139,3.659356927
12,0,2,2,2,2,327.7391332,79.67198099,3.311330357
12,1,2,3,2,1,289.022564,111.5258421,3.700785044
12,1,2,4,1,1,304.1645633,101.4170947,3.604794901
12,0,2,3,1,1,354.5294609,81.08704367,4.440510605
12,0,2,4,1,1,312.5630076,80.00894531,4.21883287
12,1,2,4,2,2,305.2480859,94.85379067,4.038672634
12,1,2,3,2,2,297.8580643,83.56147866,5.006155332
12,0,2,3,2,2,311.7645606,68.92368121,2.952911788
12,0,2,4,1,1,351.7296599,88.71544936,3.566232943
12,1,2,3,1,1,309.1855997,103.3533754,3.210995131
12,1,2,2,2,2,302.6629633,76.95973649,3.594166619
12,0,2,4,2,2,366.1914761,125.3934403,2.85745176
12,0,2,4,1,1,289.5134844,90.62260727,3.565683425
12,1,2,4,2,2,296.4059894,102.2235349,3.72784057
12,1,2,4,2,2,277.4209637,86.36368457,3.544751261
12,0,3,2,1,4,203.4022298,19.99900018,3.660680492
12,0,3,1,1,1,197.1948984,16.73671826,3.354340805
12,1,3,4,3,3,214.3637302,25.32440919,3.072592333
12,1,3,2,1,2,206.1943448,18.52419463,2.733095092
12,0,3,1,1,4,179.6806686,15.08678586,3.465349563
12,0,3,4,1,1,187.0855361,22.1830975,3.40703161
12,1,3,3,2,1,210.6276999,34.09789359,3.736397279
12,1,3,1,1,1,221.6499335,40.49756074,4.241127139
12,0,3,2,2,2,202.2085254,24.16517593,2.458713732
12,0,3,4,1,1,203.0282341,20.68366793,3.180495938
12,1,3,1,2,2,210.6757885,26.92113595,2.688646064
12,1,3,2,1,1,204.8872555,28.60200746,3.057373161
12,0,3,2,1,4,203.6964573,23.44694408,2.455327795
12,0,3,1,1,1,205.3210277,23.56897318,2.756696654
12,1,3,2,3,2,204.3792856,20.35795972,3.020356593
12,1,3,2,2,2,201.0591706,17.81211281,3.095870807
13,1,1,1,1,1,287.4205304,89.97333919,4.051274709
13,1,1,1,4,1,259.5251101,59.40099549,3.732060298
13,0,1,1,4,1,233.482739,35.8576064,3.568658092
13,0,1,1,4,1,227.8894676,50.74472351,3.22594253
13,1,1,1,4,1,223.5661916,48.11495197,4.45929528
13,1,1,1,4,1,228.942421,44.45391132,4.183628795
13,0,1,1,4,1,212.1995759,42.35179838,3.632849769
13,0,1,1,4,1,196.1946875,31.43444539,5.266878903
13,1,1,1,1,1,239.2708124,33.64271373,3.934157068
13,1,1,1,4,1,251.6249706,56.13578239,3.538378007
13,0,1,1,4,1,226.2945451,28.24291413,2.895373538
13,0,1,1,4,1,222.2412188,38.95215592,4.00351595
13,1,1,1,4,1,208.1673138,46.82718309,3.62418448
13,1,1,1,4,1,230.0568406,52.7107928,3.620199042
13,0,1,1,4,1,209.8437686,38.37594545,3.4200028
13,0,1,1,4,1,223.1343053,48.03589756,3.446674124
13,1,2,4,1,1,327.3966775,99.36059494,3.98213102
13,1,2,4,1,1,383.5907426,74.68399922,5.157484151
13,0,2,1,1,1,289.022564,111.5258421,3.700785044
13,0,2,4,1,4,304.1645633,101.4170947,3.604794901
13,1,2,4,1,1,331.3015004,66.25968002,5.267522883
13,1,2,1,1,4,332.0913301,90.92966214,4.963276304
13,0,2,4,1,1,305.2480859,94.85379067,4.038672634
13,0,2,4,1,1,297.8580643,83.56147866,5.006155332
13,1,2,4,1,1,319.6069375,73.39681313,3.833149907
13,1,2,4,1,1,326.4501566,67.95083149,4.198497355
13,0,2,4,1,1,309.1855997,103.3533754,3.210995131
13,0,2,1,1,1,302.6629633,76.95973649,3.594166619
13,1,2,4,1,1,371.3122638,103.9380385,3.968642953
13,1,2,4,1,1,339.5634117,92.63290159,3.937459116
