"Speaker","Emotion","Script","Order","Run","Stim_index","Version"
"fam","sad","chk",3,2,57,"b"
"unf","neu","din",3,2,59,"b"
"fam","hap","hlp",3,2,61,"b"
"unf","ang","tlk",3,2,63,"b"
"unf","neu","chk",3,2,65,"b"
"unf","neu","hlp",4,1,1,"a"
"fam","hap","tlk",4,1,3,"a"
"unf","ang","chk",4,1,5,"a"
"unf","sad","tlk",4,1,7,"a"
"fam","neu","hlp",4,1,9,"a"
"unf","ang","din",4,1,11,"a"
"fam","hap","chk",4,1,13,"a"
"fam","sad","tlk",4,1,15,"a"
"unf","neu","din",4,1,17,"a"
"fam","ang","chk",4,1,19,"a"
"unf","sad","din",4,1,21,"a"
"fam","neu","tlk",4,1,23,"a"
"unf","hap","chk",4,1,25,"a"
"fam","ang","hlp",4,1,27,"a"
"unf","sad","chk",4,1,29,"a"
"fam","hap","hlp",4,1,31,"a"
"unf","neu","tlk",4,1,33,"a"
"fam","sad","din",4,1,35,"a"
"unf","ang","hlp",4,1,37,"a"
"fam","neu","chk",4,1,39,"a"
"fam","sad","hlp",4,1,41,"a"
"unf","hap","tlk",4,1,43,"a"
"unf","neu","chk",4,1,45,"a"
"fam","ang","din",4,1,47,"a"
"unf","hap","hlp",4,1,49,"a"
"fam","sad","chk",4,1,51,"a"
"unf","ang","tlk",4,1,53,"a"
"fam","neu","din",4,1,55,"a"
"unf","sad","hlp",4,1,57,"a"
"unf","hap","din",4,1,59,"a"
"fam","ang","tlk",4,1,61,"a"
"fam","hap","din",4,1,63,"a"
"unf","neu","hlp",4,1,65,"a"
"unf","neu","hlp",4,2,1,"b"
"unf","hap","chk",4,2,3,"b"
"fam","ang","tlk",4,2,5,"b"
"fam","sad","chk",4,2,7,"b"
"fam","ang","din",4,2,9,"b"
"fam","neu","tlk",4,2,11,"b"
"unf","ang","din",4,2,13,"b"
"fam","hap","chk",4,2,15,"b"
"fam","sad","hlp",4,2,17,"b"
"unf","neu","chk",4,2,19,"b"
"unf","sad","din",4,2,21,"b"
"fam","hap","hlp",4,2,23,"b"
"unf","neu","din",4,2,25,"b"
"unf","sad","chk",4,2,27,"b"
"unf","ang","tlk",4,2,29,"b"
"fam","neu","hlp",4,2,31,"b"
"fam","hap","tlk",4,2,33,"b"
"unf","ang","hlp",4,2,35,"b"
"fam","sad","din",4,2,37,"b"
"unf","hap","hlp",4,2,39,"b"
"fam","neu","din",4,2,41,"b"
"fam","ang","hlp",4,2,43,"b"
"unf","hap","tlk",4,2,45,"b"
"unf","sad","hlp",4,2,47,"b"
"fam","neu","chk",4,2,49,"b"
"unf","hap","din",4,2,51,"b"
"fam","ang","chk",4,2,53,"b"
"unf","sad","tlk",4,2,55,"b"
"unf","neu","tlk",4,2,57,"b"
"fam","sad","tlk",4,2,59,"b"
"unf","ang","chk",4,2,61,"b"
"fam","hap","din",4,2,63,"b"
"unf","neu","hlp",4,2,65,"b"
